category,framework_name,description,key_questions
messaging,Mission Statement,Define the core purpose and reason for existence of the business - what you do and why it matters,What do we do?|Who do we serve?|Why does this matter?|What change do we create?|How would we explain this to a stranger in 30 seconds?
messaging,Vision Statement,Articulate the aspirational future state the business is working toward - where you are headed,Where do we want to be in 3-5 years?|What does success look like at scale?|What impact do we want to have on our industry?|What would make us proud to have built?
messaging,Social Impact Statement,Define the broader positive impact the business creates beyond profit - why the world is better because you exist,What social problem does our work address?|How do our services improve lives beyond the direct client?|What would be lost if we disappeared?|What legacy are we building?
messaging,Customer Avatar,Create a detailed profile of the ideal customer - the one person in the audience who thinks 'they are talking to me',What industry are they in?|What is their role and title?|What keeps them up at night?|What have they tried that failed?|What would make them say 'take my money'?|What is their revenue range?|How big is their team?
messaging,Pain Point Messaging,Identify and articulate the specific problems your avatar faces so your messaging hits home,What are their top 3 operational frustrations?|Where are they wasting the most time?|What manual processes are killing them?|What would they automate first if they could?|What is costing them money they do not realize?
messaging,Brand Voice and Tagline,Define how the business speaks and the memorable phrase that captures the essence,What 3 adjectives describe our tone?|Are we formal or casual?|What is our one-liner that captures what we do?|How do we want clients to feel after interacting with us?
meat,Marketing Plan,Comprehensive strategy for how the business attracts and converts customers,What channels are we using?|What is our content strategy?|How do leads find us?|What is our conversion funnel?|What is our marketing budget?|How do we measure marketing success?
meat,Market Analysis,Research and understand the market landscape including size and trends and customer behavior,How big is our addressable market?|What trends are shaping the industry?|Who are the buyers and what drives their decisions?|What is the market growth rate?|What segments exist?
meat,SWOT Analysis - Personal,Individual strengths weaknesses opportunities and threats assessment for each team member to clarify roles,What are my top 3 professional strengths?|What are my honest weaknesses?|What opportunities can I uniquely capture?|What threatens my effectiveness?|What role does this suggest for me?
meat,SWOT Analysis - Business,Organizational strengths weaknesses opportunities and threats to understand competitive position,What do we do better than anyone?|Where are we weakest?|What market opportunities are emerging?|What external threats could hurt us?|How do we leverage strengths against threats?
meat,Competitive Analysis,Identify and analyze competitors to find differentiation and advantage,Who are our direct competitors?|Who are indirect competitors?|What do they do well?|Where are they weak?|How are we different?|What is our unfair advantage?
meat,Operational Plan,Define how the business actually delivers its services day to day,What is our delivery process end to end?|What are the key milestones in a project?|What tools and systems do we use?|What are our quality standards?|How do we handle client communication?
meat,Organizational Chart,Map team structure and reporting relationships and role ownership,Who reports to whom?|What are the key roles?|What does each role own?|Where are the gaps in coverage?|What roles need to be hired next?
meat,Job Descriptions,Define clear responsibilities and expectations for each role in the organization,What are the core responsibilities?|What skills are required?|What does success look like in this role?|How is performance measured?|What is the time commitment?
meat,Department SOPs,Standard operating procedures for how each department or function runs,What are the step-by-step processes?|What tools are used at each step?|What are the quality checkpoints?|Who owns each process?|What happens when something goes wrong?
meat,Pricing Strategy,Define how services are priced and packaged for maximum value capture,What are our service tiers?|How do we calculate costs?|What margins do we need?|What does the market bear?|How do we handle scope creep?
forward,Financial Projections,Forecast revenue expenses and profitability for the next 1-3 years,What are projected monthly revenues?|What are fixed vs variable costs?|When do we break even?|What is our cash flow forecast?|What investment is needed?
forward,Exit Strategy,Define what happens when founders or key members leave or the business changes form,What happens if a partner leaves?|How is equity distributed?|What is the buyout process?|What triggers dissolution?|How are client relationships transferred?
forward,Expansion Strategy,Plan for growth beyond current capacity and market,What new services could we offer?|What new markets could we enter?|When do we hire?|What partnerships accelerate growth?|What does the next stage look like?
forward,Contingency Planning,Prepare for disruptions and unexpected changes in the business,What if we lose our biggest client?|What if a key team member leaves?|What if the market shifts?|What is our emergency fund target?|What are our backup plans?
forward,Revenue Milestones,Define specific revenue targets and what unlocks at each level,What is our first revenue target?|What does $10K per month unlock?|What about $50K per month?|What changes at $100K per month?|What are the leading indicators?
